 mounting offset   v3 procedure   v5 procedure
              0°        0.00619        0.00619
              1°        0.04579        0.00629
              5°        0.21292        0.00604
             30°        1.26267        0.00610
            100°        4.19904        0.00643
            170°        7.13504        0.00610
            179°        7.51362        0.00626
            180°       rejected        0.00619
            181°       rejected        0.00629
            270°        3.77869        0.00619
